MTH,WRKDATE,YR,DIV,DIV_NAME,TYPE,TASK,WO,CRTDAT,EQ,FCT,LINE,SHOP,TRADE,HRS,period,perno,CRTYR,CRTMTH
4,14-04-29,2014,167,Cascades Groupe Tissu KF Desen,CA,          ,1412202   ,1140330,UHY0084        ,IUHYD702                      ,IDESEN    ,SINST,MECA,2,2014-04,74,2014,03
4,14-04-28,2014,167,Cascades Groupe Tissu KF Desen,CA,          ,1412202   ,1140330,UHY0084        ,IUHYD702                      ,IDESEN    ,SINST,MECA,2,2014-04,74,2014,03
4,14-04-28,2014,167,Cascades Groupe Tissu KF Desen,CA,          ,1412202   ,1140330,UHY0084        ,IUHYD702                      ,IDESEN    ,SINST,MECA,2,2014-04,74,2014,03
4,14-04-09,2014,167,Cascades Groupe Tissu KF Desen,CA,          ,1412202   ,1140330,UHY0084        ,IUHYD702                      ,IDESEN    ,SINST,MECA,3,2014-04,74,2014,03
4,14-04-08,2014,167,Cascades Groupe Tissu KF Desen,CA,          ,1412202   ,1140330,UHY0084        ,IUHYD702                      ,IDESEN    ,SINST,MECA,2,2014-04,74,2014,03
4,14-04-07,2014,167,Cascades Groupe Tissu KF Desen,CA,          ,1412202   ,1140330,UHY0084        ,IUHYD702                      ,IDESEN    ,SINST,MECA,2,2014-04,74,2014,03
4,14-04-07,2014,167,Cascades Groupe Tissu KF Desen,CA,          ,1412202   ,1140330,UHY0084        ,IUHYD702                      ,IDESEN    ,SINST,MECA,6,2014-04,74,2014,03
4,14-04-04,2014,167,Cascades Groupe Tissu KF Desen,CA,          ,1412202   ,1140330,UHY0084        ,IUHYD702                      ,IDESEN    ,SINST,MECA,2,2014-04,74,2014,03
4,14-04-03,2014,167,Cascades Groupe Tissu KF Desen,CA,          ,1412202   ,1140330,UHY0084        ,IUHYD702                      ,IDESEN    ,SINST,MECA,4,2014-04,74,2014,03
4,14-04-02,2014,165,CGT-KF Perini 1,C3,          ,1412214   ,1140331,ITEM-81142     ,MMAGA115                      ,SMAGA     ,SINST,MECA,1,2014-04,74,2014,03
4,14-04-01,2014,165,CGT-KF Perini 1,C3,          ,1412214   ,1140331,ITEM-81142     ,MMAGA115                      ,SMAGA     ,SINST,MECA,2,2014-04,74,2014,03
3,14-03-31,2014,165,CGT-KF Perini 1,C3,          ,1412214   ,1140331,ITEM-81142     ,MMAGA115                      ,SMAGA     ,SINST,MECA,0.5,2014-03,69,2014,03
5,14-05-21,2014,162,Cascades Groupe Tissu KF Mac 2,PA,IPVER205  ,1412251   ,1140331,TMPE201        ,I.ELE201                      ,ILIC2     ,SELEC,MOTEUR,8,2014-05,65,2014,03
5,14-05-20,2014,162,Cascades Groupe Tissu KF Mac 2,PA,IPVER205  ,1412251   ,1140331,TMPE201        ,I.ELE201                      ,ILIC2     ,SELEC,MOTEUR,1,2014-05,65,2014,03
5,14-05-14,2014,162,Cascades Groupe Tissu KF Mac 2,PA,IPVER205  ,1412251   ,1140331,TMPE201        ,I.ELE201                      ,ILIC2     ,SELEC,MOTEUR,2,2014-05,65,2014,03
